L,B_over_B0,E_0.2_MeV,E_0.6_MeV,E_1.25_MeV,E_3_MeV,E_5_MeV,E_12.5_MeV,E_30_MeV,E_50_MeV,E_125_MeV,E_300_MeV
4.2,19.002,1.88e+07,1.05e+06,23600,0,0,0,0,0,0,0
4.2,23.753,1.48e+07,784000,17700,0,0,0,0,0,0,0
4.2,28.504,1.2e+07,597000,13600,0,0,0,0,0,0,0
4.2,33.254,9.63e+06,464000,10600,0,0,0,0,0,0,0
4.2,38.005,7.6e+06,360000,8420,0,0,0,0,0,0,0
4.2,42.755,6e+06,280000,6660,0,0,0,0,0,0,0
4.2,47.506,4.64e+06,217000,5240,0,0,0,0,0,0,0
4.2,52.257,3.57e+06,159000,4130,0,0,0,0,0,0,0
4.2,57.007,2.47e+06,115000,3020,0,0,0,0,0,0,0
4.2,61.758,1.46e+06,77600,2100,0,0,0,0,0,0,0
4.2,66.746,660000,41100,1220,0,0,0,0,0,0,0
4.2,71.496,166000,13500,465,0,0,0,0,0,0,0
4.2,76.247,25700,2770,136,0,0,0,0,0,0,0
4.2,80.76,3310,509,36.4,0,0,0,0,0,0,0
4.2,85.748,331,52.1,0,0,0,0,0,0,0,0
4.2,90.261,43.5,0,0,0,0,0,0,0,0,0
4.6,1,1.9e+08,1.64e+07,422000,0,0,0,0,0,0,0
4.6,1.563,1.08e+08,7.15e+06,103000,0,0,0,0,0,0,0
4.6,3.125,6.11e+07,2.81e+06,27700,0,0,0,0,0,0,0
4.6,6.25,3.66e+07,1.49e+06,12100,0,0,0,0,0,0,0
4.6,12.5,2.41e+07,793000,5620,0,0,0,0,0,0,0
4.6,18.75,1.77e+07,520000,3520,0,0,0,0,0,0,0
4.6,25,1.37e+07,392000,2470,0,0,0,0,0,0,0
4.6,31.25,1.09e+07,296000,1930,0,0,0,0,0,0,0
4.6,37.5,9.04e+06,237000,1540,0,0,0,0,0,0,0
4.6,43.75,7.47e+06,189000,1230,0,0,0,0,0,0,0
4.6,50,5.99e+06,148000,997,0,0,0,0,0,0,0
4.6,56.25,4.63e+06,112000,807,0,0,0,0,0,0,0
4.6,62.5,3.54e+06,82900,641,0,0,0,0,0,0,0
4.6,68.75,2.6e+06,59200,502,0,0,0,0,0,0,0
4.6,75,1.78e+06,39600,387,0,0,0,0,0,0,0
4.6,81.25,1.05e+06,24300,275,0,0,0,0,0,0,0
4.6,87.813,485000,11900,189,0,0,0,0,0,0,0
4.6,94.063,152000,4630,129,0,0,0,0,0,0,0
4.6,100.313,29500,1410,63.3,0,0,0,0,0,0,0
4.6,106.25,5530,447,26.2,0,0,0,0,0,0,0
4.6,112.813,678,76,0,0,0,0,0,0,0,0
4.6,118.75,83.4,0,0,0,0,0,0,0,0,0
4.6,120.625,43.2,0,0,0,0,0,0,0,0,0
5,1,1.32e+08,6.34e+06,55600,0,0,0,0,0,0,0
5,2.008,6.59e+07,1.85e+06,6500,0,0,0,0,0,0,0
5,4.016,4.05e+07,931000,1990,0,0,0,0,0,0,0
5,8.032,2.69e+07,520000,0,0,0,0,0,0,0,0
5,16.064,1.9e+07,280000,0,0,0,0,0,0,0,0
5,24.096,1.41e+07,187000,0,0,0,0,0,0,0,0
5,32.129,1.14e+07,141000,0,0,0,0,0,0,0,0
5,40.161,9.27e+06,108000,0,0,0,0,0,0,0,0
